use_obstacle,seed,target_x,target_y,obstacle_x,obstacle_y,q1,q2,success_t2,collision_t2,success_t4,collision_t4,success_t6,collision_t6,success_t8,collision_t8,success_t12,collision_t12
1,10000,0.8551708413758711,-0.5663628641667019,-0.5168865125868713,-0.9389173255350136,1.6339664044388122,-1.3950791870940837,1,0,1,0,1,0,1,0,1,0
1,10001,0.48938110874560864,-0.7876156874795828,0.21443508920185222,0.9538762808381183,-1.236644152317067,-1.1244641178157266,1,0,1,0,1,0,1,0,1,0
1,10002,0.39208005783266425,0.12581736798336715,0.4953323721025889,0.5631689913677543,-1.0248914504752473,-0.6215039301920805,1,0,1,0,1,0,1,0,1,0
1,10003,-0.7566333656122001,0.009210928024189732,0.395080583456445,0.9651417980229885,0.3991448160006609,-0.9407255906281142,0,0,1,0,1,0,1,0,1,0
1,10004,0.8968911524388599,-0.23283880518323477,-0.4161146253641545,0.6611638046548514,-1.2360888143483786,-1.3056882605560238,1,0,1,0,1,0,1,0,1,0
1,10005,-1.4485617484181452,0.22087943962403098,-0.19199795333419375,-0.7735311910409557,0.11207262406009795,-0.5628243221646911,0,1,0,1,0,1,0,1,0,1
1,10006,1.2573221081498693,-0.7671140977768801,-0.6584934334769486,-0.7917218938711686,-0.2931911824514568,-1.390621307099541,1,0,1,0,1,0,1,0,1,0
1,10007,1.1731881713004138,-1.0169367980773356,-0.2805444695392307,0.5654258622286082,-0.4443304341872995,1.2819214618691854,1,0,1,0,1,0,1,0,1,0
1,10008,1.0845159559148965,1.2396513254497081,0.7726720628349206,0.4022534684641023,2.7130936182582994,0.16247030371203786,0,1,0,0,1,0,1,0,1,0
1,10009,0.8221688708871236,0.62734373516885,0.9274981176238523,0.1310497390127752,1.6376304858328166,-0.28173361174525513,1,0,1,0,1,0,1,0,1,0
1,10010,0.27603631005556284,1.8215989379717337,-0.43942545151675727,-0.44424459961765544,2.843755463750396,-0.688786808333709,0,0,1,0,1,0,1,0,1,0
1,10011,0.23634822919965787,-0.6742010484564378,1.119983468578926,-0.005705772327103995,0.2847164925467054,1.0146437996971676,0,1,0,1,0,1,0,1,0,1
1,10012,-0.32708883798886185,0.4417857428780946,-0.6037158280602064,-0.39186901674620284,-1.685584594998281,0.5639345193534556,0,1,0,1,0,1,0,1,0,1
1,10013,0.5675795463336865,0.957206515896278,0.8826019215654477,-0.32566764224975875,-0.8310651082135939,0.3959227458699688,0,1,0,1,0,1,0,1,0,1
1,10014,1.0765303652503744,-1.3786835991737467,-0.7910631303840102,-0.7949696552186434,-1.3975613910699765,2.460434120725083,1,0,1,0,1,0,1,0,1,0
1,10015,-0.17917541453951275,-0.8661135578380666,0.7807807180020018,-0.08267679003800778,-2.814821846158613,-1.0591000952799585,1,0,1,0,1,0,1,0,1,0
1,10016,-0.05864399501752148,-0.8950437176906896,-0.638833455378719,-0.5402721859403129,-1.4138994491509944,1.953772991410316,0,1,0,1,0,1,0,1,0,1
1,10017,0.8432143107613291,-0.5355936977358612,-0.687320329519378,0.2902046680824221,1.9403154105944471,-1.7748273985256797,1,0,1,0,1,0,1,0,1,0
1,10018,0.9548364300398275,-0.8954224479619022,0.735368837206038,-0.2847169465916949,3.1261974539873427,2.3564806199830235,0,0,1,0,1,0,1,0,1,0
1,10019,-0.015382783661706152,-0.5835177320878819,0.43774694429955535,0.8043697670730285,1.690639969821356,-0.9764984626707857,0,1,0,1,0,1,0,1,0,1
1,10020,0.4385862910519852,-0.3803481935866576,-0.9359798182115393,-0.7273663922031303,0.16174473140084006,-0.43422417255259194,1,0,1,0,1,0,1,0,1,0
1,10021,-0.556596090123406,0.9352656989532551,-0.3922177323551164,-0.6603574926506324,1.00227536267785,1.6075976937617837,1,0,1,0,1,0,1,0,1,0
1,10022,-0.026379569829678762,0.6923674203125322,0.21316754174313773,1.0208182213080899,-2.9634123813154365,1.8282522646612709,1,0,1,0,1,0,1,0,1,0
1,10023,-0.028550247898116027,1.566084506428151,0.5607716309378538,0.8771060796004431,2.8412838135813354,2.3840903717766393,0,1,0,1,0,1,0,1,0,1
1,10024,0.2716064934785349,0.37630956626891576,-0.9332423006495791,-0.14467082015733682,-1.7543603653880506,1.7712937097679786,1,0,1,0,1,0,1,0,1,0
1,10025,-0.36369748319592216,1.2263496984403988,0.8666807380479253,0.8177823046697887,-1.4989932250305713,0.5786246626587621,0,1,0,1,0,1,0,1,0,1
1,10026,-0.7456957026330835,0.9200456206924712,-0.5597805650262846,0.3038427078475923,1.2948824306193587,-2.449808474217697,0,1,0,1,0,1,0,1,0,1
1,10027,-0.7062624197674513,0.8645564324841724,0.07817226527591595,-0.6208053687944781,0.9975868603808705,0.20980785175990668,1,0,1,0,1,0,1,0,1,0
1,10028,-0.3930112678946957,-0.814310273943876,-0.0060680084409806346,-1.0867224555957533,-3.094937563180189,1.0327817179964693,1,0,1,0,1,0,1,0,1,0
1,10029,-0.1429834620234318,-1.2761102679127085,-1.1253305332466332,-0.37871938421807627,2.481519549102921,-0.883507801887144,0,1,0,1,0,1,0,1,0,1
1,10030,-0.9636811745616906,1.3843575422351908,0.07012914356589103,-0.7779033187126998,-0.14122934240846524,-1.7957265804617912,0,0,0,0,0,0,0,0,1,0
1,10031,-0.9833876600846655,0.9512759936343324,-0.8634286091560868,-0.03320452900400783,0.06848891737959413,-2.2421350436865795,0,1,0,1,0,1,0,1,0,1
1,10032,1.657569945149512,-0.8081253006191828,-0.6137339858864694,0.09702655549834262,-0.7558578896828957,1.556862116396656,1,0,1,0,1,0,1,0,1,0
